demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_57,anchor,labeled_or_anchor,115,115,115,3.536053,3.356985,5.032835
demo_58,anchor,labeled_or_anchor,88,88,88,2.611190,2.700945,3.824144
demo_59,anchor,labeled_or_anchor,91,91,91,3.244690,3.269995,4.711985
demo_60,extra_masked,bad,129,0,0,,,
demo_61,anchor,labeled_or_anchor,130,130,130,3.999862,3.620919,5.566470
demo_62,extra_masked,bad,80,4,4,3.693733,4.163963,5.567444
demo_63,anchor,labeled_or_anchor,98,98,98,3.593175,3.587923,5.156440
demo_64,extra_masked,bad,95,0,0,,,
demo_65,anchor,labeled_or_anchor,138,138,138,4.051861,3.646232,5.626342
demo_66,extra_masked,bad,109,0,0,,,
demo_68,extra_masked,bad,99,0,0,,,
demo_70,anchor,labeled_or_anchor,71,71,71,2.955512,3.198104,4.404017
demo_71,anchor,labeled_or_anchor,91,91,91,3.728967,3.588900,5.278556
demo_73,extra_masked,positive,129,51,51,7.529696,5.349441,9.398066
demo_74,extra_masked,bad,101,0,0,,,
demo_75,anchor,labeled_or_anchor,145,145,145,3.733775,3.811572,5.509163
demo_76,extra_masked,bad,101,0,0,,,
demo_78,anchor,labeled_or_anchor,80,80,80,2.187404,2.763203,3.611796
demo_79,anchor,labeled_or_anchor,92,92,92,3.670242,3.828485,5.477052
demo_82,extra_masked,bad,82,1,1,6.146068,4.166368,7.425144
demo_83,anchor,labeled_or_anchor,109,109,109,3.828704,3.668992,5.412535
demo_84,extra_masked,bad,83,0,0,,,
demo_85,anchor,labeled_or_anchor,123,123,123,3.932994,3.751046,5.628311
demo_86,extra_masked,bad,73,0,0,,,
demo_90,extra_masked,bad,74,0,0,,,
demo_91,anchor,labeled_or_anchor,89,89,89,4.158841,4.013450,5.880148
demo_92,extra_masked,bad,66,0,0,,,
demo_94,extra_masked,bad,86,0,0,,,
demo_95,anchor,labeled_or_anchor,105,105,105,3.509816,3.648127,5.196461
demo_96,extra_masked,bad,82,0,0,,,
demo_97,anchor,labeled_or_anchor,89,89,89,4.516973,3.903851,6.192242
demo_100,extra_masked,bad,89,0,0,,,
demo_101,anchor,labeled_or_anchor,98,98,98,3.872293,3.811865,5.583150
demo_102,extra_masked,bad,94,0,0,,,
demo_103,extra_masked,positive,121,56,56,6.342514,5.138037,8.449545
demo_106,extra_masked,bad,68,0,0,,,
demo_108,extra_masked,bad,94,0,0,,,
demo_110,anchor,labeled_or_anchor,80,80,80,2.999524,3.100442,4.386337
demo_111,anchor,labeled_or_anchor,95,95,95,4.046993,3.899342,5.827268
demo_114,extra_masked,bad,110,0,0,,,
demo_116,extra_masked,bad,103,0,0,,,
demo_117,extra_masked,positive,129,60,60,5.944449,5.045137,7.995467
demo_118,extra_masked,bad,80,0,0,,,
demo_119,anchor,labeled_or_anchor,91,91,91,4.318232,3.660062,5.770192
demo_122,extra_masked,bad,84,0,0,,,
demo_124,extra_masked,bad,75,0,0,,,
demo_126,extra_masked,bad,88,0,0,,,
demo_127,anchor,labeled_or_anchor,95,95,95,3.191305,3.498508,4.962186
demo_128,extra_masked,bad,89,0,0,,,
demo_129,anchor,labeled_or_anchor,104,104,104,3.466758,3.584367,5.137313
demo_130,extra_masked,bad,85,0,0,,,
demo_132,extra_masked,bad,60,0,0,,,
demo_133,anchor,labeled_or_anchor,94,94,94,4.332387,3.956921,6.003654
demo_134,extra_masked,bad,69,0,0,,,
demo_136,extra_masked,bad,61,0,0,,,
demo_137,anchor,labeled_or_anchor,96,96,96,3.971429,4.016757,5.905811
demo_138,extra_masked,bad,55,0,0,,,
demo_139,anchor,labeled_or_anchor,82,82,82,3.966247,4.254522,5.992457
demo_140,extra_masked,bad,103,0,0,,,
demo_141,extra_masked,positive,126,58,58,7.114501,4.971467,8.960965
demo_142,anchor,labeled_or_anchor,76,76,76,2.827769,2.981282,4.188066
demo_144,extra_masked,bad,81,0,0,,,
demo_145,anchor,labeled_or_anchor,88,88,88,3.701324,3.491504,5.275181
demo_146,extra_masked,bad,90,0,0,,,
demo_148,extra_masked,bad,67,0,0,,,
demo_149,extra_masked,positive,118,56,56,6.185184,5.200984,8.346625
demo_150,extra_masked,bad,79,0,0,,,
demo_152,extra_masked,bad,89,0,0,,,
demo_153,anchor,labeled_or_anchor,101,101,101,3.872067,3.955198,5.751515
demo_154,extra_masked,bad,93,0,0,,,
demo_155,anchor,labeled_or_anchor,103,103,103,4.375479,3.984328,6.129636
demo_156,extra_masked,bad,63,0,0,,,
demo_158,extra_masked,bad,73,5,5,13.392833,3.513990,13.853917
demo_160,extra_masked,bad,73,0,0,,,
demo_162,extra_masked,bad,92,0,0,,,
demo_164,anchor,labeled_or_anchor,67,67,67,2.720490,2.885543,4.060651
demo_165,anchor,labeled_or_anchor,105,105,105,4.047600,4.132760,5.987572
demo_166,extra_masked,bad,90,0,0,,,
demo_168,extra_masked,bad,81,0,0,,,
demo_171,anchor,labeled_or_anchor,110,110,110,3.504150,3.750284,5.366628
demo_173,anchor,labeled_or_anchor,95,95,95,3.907828,3.872551,5.759845
demo_176,extra_masked,bad,68,0,0,,,
demo_178,extra_masked,bad,68,0,0,,,
demo_180,extra_masked,bad,91,0,0,,,
demo_182,extra_masked,bad,74,3,3,2.875786,4.986194,5.759303
demo_183,anchor,labeled_or_anchor,86,86,86,3.766795,3.684124,5.403611
demo_184,anchor,labeled_or_anchor,58,58,58,2.900250,3.319674,4.460423
demo_185,anchor,labeled_or_anchor,93,93,93,4.214975,3.581509,5.608383
demo_186,extra_masked,bad,76,0,0,,,
demo_190,extra_masked,bad,67,0,0,,,
demo_191,extra_masked,positive,89,39,39,7.294719,4.794878,9.111428
demo_192,extra_masked,bad,75,0,0,,,
demo_194,extra_masked,bad,82,0,0,,,
demo_196,extra_masked,bad,83,0,0,,,
demo_197,anchor,labeled_or_anchor,103,103,103,4.277369,3.628616,5.764203
demo_198,anchor,labeled_or_anchor,64,64,64,1.801749,2.864774,3.432199
