demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_178,extra_masked,bad,68,0,0,,,
demo_179,anchor,labeled_or_anchor,115,115,115,3.892540,3.908514,5.742662
demo_180,extra_masked,bad,91,1,1,5.369123,10.663918,11.939289
demo_182,extra_masked,bad,74,0,0,,,
demo_184,extra_masked,bad,58,0,0,,,
demo_185,anchor,labeled_or_anchor,93,93,93,3.759088,3.941040,5.529215
demo_186,extra_masked,bad,76,0,0,,,
demo_190,extra_masked,bad,67,0,0,,,
demo_191,extra_masked,positive,89,36,36,5.518747,5.196878,7.883862
demo_192,extra_masked,bad,75,0,0,,,
demo_193,anchor,labeled_or_anchor,107,107,107,3.988219,3.692191,5.579786
demo_194,extra_masked,bad,82,0,0,,,
demo_195,anchor,labeled_or_anchor,100,100,100,4.007797,3.824101,5.636941
demo_196,extra_masked,bad,83,0,0,,,
demo_198,anchor,labeled_or_anchor,64,64,64,2.276136,3.374417,4.119409
demo_199,anchor,labeled_or_anchor,88,88,88,3.528533,3.470632,5.118114
