demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_147,anchor,labeled_or_anchor,91,91,91,4.089671,3.942385,5.856574
demo_148,extra_masked,bad,67,0,0,,,
demo_149,anchor,labeled_or_anchor,118,118,118,4.480434,3.882512,6.107179
demo_150,extra_masked,bad,79,0,0,,,
demo_151,anchor,labeled_or_anchor,119,119,119,3.909408,3.407659,5.347341
demo_152,extra_masked,bad,89,0,0,,,
demo_154,extra_masked,bad,93,0,0,,,
demo_155,anchor,labeled_or_anchor,103,103,103,4.713474,3.965494,6.327787
demo_158,extra_masked,bad,73,0,0,,,
demo_159,anchor,labeled_or_anchor,92,92,92,3.926289,3.902397,5.684612
demo_160,extra_masked,bad,73,0,0,,,
demo_161,anchor,labeled_or_anchor,91,91,91,4.732134,3.936279,6.279252
demo_162,extra_masked,bad,92,1,1,2.502240,11.529024,11.797441
demo_163,anchor,labeled_or_anchor,115,115,115,4.124974,3.858988,5.857452
demo_166,extra_masked,bad,90,0,0,,,
demo_167,anchor,labeled_or_anchor,114,114,114,3.638445,3.909567,5.544984
demo_169,extra_masked,positive,97,37,37,6.237757,4.817628,8.130890
demo_170,extra_masked,bad,64,1,1,3.084462,1.872002,3.608087
demo_172,extra_masked,bad,74,0,0,,,
demo_173,anchor,labeled_or_anchor,95,95,95,3.608910,3.977017,5.638093
demo_174,extra_masked,bad,82,0,0,,,
demo_175,anchor,labeled_or_anchor,130,130,130,4.186556,3.771164,5.795557
demo_176,extra_masked,bad,68,0,0,,,
demo_177,anchor,labeled_or_anchor,99,99,99,3.491852,3.962417,5.433036
demo_178,extra_masked,bad,68,0,0,,,
demo_180,extra_masked,bad,91,5,5,3.955774,2.085759,4.479151
demo_181,anchor,labeled_or_anchor,127,127,127,4.237381,3.559313,5.666900
demo_182,extra_masked,bad,74,0,0,,,
demo_183,anchor,labeled_or_anchor,86,86,86,3.309858,4.068509,5.413854
demo_184,anchor,labeled_or_anchor,58,58,58,2.514502,3.782285,4.592741
demo_186,extra_masked,bad,76,0,0,,,
demo_187,anchor,labeled_or_anchor,109,109,109,3.547905,3.751113,5.329525
demo_190,extra_masked,bad,67,0,0,,,
demo_192,extra_masked,bad,75,0,0,,,
demo_195,anchor,labeled_or_anchor,100,100,100,3.618500,3.595417,5.339104
demo_197,anchor,labeled_or_anchor,103,103,103,3.956841,3.793219,5.724459
demo_198,extra_masked,bad,64,0,0,,,
