demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_168,extra_masked,bad,81,0,0,,,
demo_169,anchor,labeled_or_anchor,97,97,97,3.258335,3.635712,5.096908
demo_170,extra_masked,bad,64,0,0,,,
demo_172,extra_masked,bad,74,0,0,,,
demo_174,extra_masked,bad,82,0,0,,,
demo_176,extra_masked,bad,68,0,0,,,
demo_179,anchor,labeled_or_anchor,115,115,115,3.751810,4.425089,6.053755
demo_180,extra_masked,bad,91,0,0,,,
demo_182,extra_masked,bad,74,0,0,,,
demo_183,anchor,labeled_or_anchor,86,86,86,3.312627,4.064319,5.405155
demo_184,extra_masked,bad,58,0,0,,,
demo_185,anchor,labeled_or_anchor,93,93,93,4.182133,3.630201,5.621573
demo_186,extra_masked,bad,76,0,0,,,
demo_187,anchor,labeled_or_anchor,109,109,109,3.705750,4.080349,5.679874
demo_190,extra_masked,bad,67,2,2,2.795505,2.440234,3.710741
demo_192,extra_masked,bad,75,0,0,,,
demo_193,anchor,labeled_or_anchor,107,107,107,3.797304,3.623074,5.488452
demo_194,extra_masked,bad,82,0,0,,,
demo_195,anchor,labeled_or_anchor,100,100,100,3.896842,3.613641,5.510119
demo_196,extra_masked,bad,83,0,0,,,
demo_197,anchor,labeled_or_anchor,103,103,103,3.924005,3.760919,5.600859
demo_198,extra_masked,bad,64,0,0,,,
demo_199,anchor,labeled_or_anchor,88,88,88,3.115405,3.830670,5.111179
