demo_id,role,hidden_label,transition_count,bc_selected_mass,negative_loss_mass,selected_negative_obs_distance_mean,selected_negative_action_distance_mean,selected_negative_state_action_distance_mean
demo_177,anchor,labeled_or_anchor,99,99,99,3.886237,3.808124,5.548860
demo_178,extra_masked,bad,68,0,0,,,
demo_180,extra_masked,bad,91,4,4,3.267940,1.691189,3.680761
demo_181,anchor,labeled_or_anchor,127,127,127,4.419552,3.657352,5.837257
demo_182,extra_masked,bad,74,0,0,,,
demo_184,anchor,labeled_or_anchor,58,58,58,2.021060,2.721758,3.471767
demo_185,anchor,labeled_or_anchor,93,93,93,3.721380,3.770811,5.393390
demo_186,extra_masked,bad,76,0,0,,,
demo_190,extra_masked,bad,67,0,0,,,
demo_192,extra_masked,bad,75,0,0,,,
demo_195,anchor,labeled_or_anchor,100,100,100,3.515542,3.420687,5.039866
demo_196,extra_masked,bad,83,0,0,,,
demo_197,extra_masked,positive,103,45,45,6.189069,4.405532,7.767548
demo_198,anchor,labeled_or_anchor,64,64,64,2.039543,2.549864,3.315730
demo_199,anchor,labeled_or_anchor,88,88,88,3.472054,3.513004,5.062503
